Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested , Survey Version DateTime 
 QLD1 ,Project,Abermain BESS,FIrm Power P/L, Storage - Battery ,Other - Other,,1, 168.00 , 168.00 , 168.00 , 168.00 , 168.00 ,250.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2489,Q00086,Feb 2025,18-03-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Storage - Battery ,Other - Other,ADPBA1,1,, 7.76 ,, 7.76 , 7.76 ,12.60, In Service ,S,May 2022,2041,,Existing less Announced Withdrawal, Battery Storage ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV1,4,, 2.75 ,, 11.00 , 11.00 ,, In Service ,SS,May 2022,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV2,5,, 2.75 ,, 13.75 , 13.75 ,, In Service ,NS,Jul 2022,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV3,1, 0.02 , 0.02 , 0.02 , 0.02 , 0.02 ,, In Service ,NS,Dec 2022,2050,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Hydro - Run of River ,Hydro - Water,ADVMH1,1, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,, In Service ,NS,Nov 2022,2050,,Existing less Announced Withdrawal, Water ,1844,,Feb 2025,28-02-2025
 VIC1 ,Project,Alberton Wind Farm,Synergy Wind Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,34, 3.60 , 3.60 , 122.40 , 122.40 , 122.40 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1547,,May 2025,
 QLD1 ,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global, Storage - Battery ,Other - Other,,1, 200.00 , 400.00 , 200.00 , 400.00 , 200.00 - 400.00 ,400.00, Anticipated ,S,Dec 2027,2049,,Anticipated, Battery Storage ,2591,Q00118,May 2025,18-03-2025
 QLD1 ,Project,Aldoga Solar Farm,Acciona Energy Australia Global Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,ALDGASF1,157, 2.47 , 2.47 , 387.01 , 387.01 , 387.01 ,, Anticipated ,SS,Nov 2025,2051,,Anticipated, Solar ,1509,Q00036,May 2025,17-03-2025
 QLD1 ,Project,Alligator Creek BESS,Alligator Creek BESS Pty Ltd, Storage - Battery ,Other - Other,,1, 120.00 , 120.00 , 120.00 , 120.00 , 120.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3069,Q00239,,
 VIC1 ,Project,Altona BESS,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other,,1,, 100.00 ,, 100.00 , 100.00 ,200.00, Publicly Announced ,S,Oct 2027,,,Proposed, Battery Storage ,2435,V00085,May 2025,14-03-2025
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,, 15.40 ,, 15.40 , 15.40 ,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb 2025,14-03-2025
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,, 30.80 ,, 30.80 , 30.80 ,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb 2025,14-03-2025
 NSW1 ,Existing Plant,Appin,EDL CSM NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas,APPIN,54,, 1.03 ,, 55.62 , 55.62 ,, In Service ,NS,,2036,,Existing less Announced Withdrawal, Gas other ,1003,,Oct 2024,09-10-2024
 NSW1 ,Project,Apsley BESS Project, ACENergy Pty Ltd , Storage - Battery ,Other - Other,,1, 120.00 , 120.00 , 120.00 , 120.00 , 120.00 ,260.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2200,N00063,Feb 2025,14-03-2025
 NSW1 ,Project,Aquila Wind,ACEN Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1, -   , 200.00 , -   , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1957,N00038,Feb 2025,18-03-2025
 QLD1 ,Project,Aramara Solar Farm,Aramara Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,, 101.40 ,, 101.40 , 101.40 ,, Anticipated ,SS,Jun 2028,2054,,Anticipated, Solar ,1426,,May 2025,17-03-2025
 VIC1 ,Existing Plant,Ararat Wind Farm,Ararat Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,ARWF1,75,, 3.20 ,, 240.00 , 240.00 ,, In Service ,SS,,2047,,Existing less Announced Withdrawal, Wind ,1462,,Feb 2025,12-03-2025
 QLD1 ,Project,Ardandra Solar Farm And BESS,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust, Storage - Battery ,Solar - Solar,,22,, 3.41 ,, 75.02 , 75.02 ,150.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,1855,,May 2025,14-03-2025
 QLD1 ,Project,Ardandra Solar Farm And BESS,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust, Solar PV - Single axis tracking ,Solar - Solar,,28,, 3.46 ,, 96.99 , 96.99 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1855,,May 2025,14-03-2025
 NSW1 ,Project,Argoon Wind Farm (RES Group) - KCI,RES Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,85, 7.20 , 7.20 , 612.00 , 612.00 , 612.00 ,, Publicly Announced ,SS,,2060,,Proposed, Wind ,2840,,,04-10-2024
 NSW1 ,Project,Argyle Solar Farm,Argyle Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,, 59.80 ,, 59.80 , 59.80 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1947,,May 2025,18-03-2025
 NSW1 ,Project,Armidale BESS,Armidale BESS Project Pty Ltd, Storage - Battery ,Other - Other,,1,, 150.00 ,, 150.00 , 150.00 ,300.00, Publicly Announced ,S,May 2026,2046,,Proposed, Battery Storage ,2512,N00182,May 2025,13-03-2024
 NSW1 ,Project,Armidale BESS (Elgin),Elgin EnergyP/L, Storage - Battery ,Other - Other,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3075,N00026,,
 NSW1 ,Project,Armidale East BESS,FRV, Storage - Battery ,Other - Other,,107, 4.20 , 4.20 , 449.40 , 449.40 , 449.40 ,1712.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3017,,May 2025,
 NSW1 ,Project,Arundel BESS,Eku Energy Projects (Australia) Trust, Storage - Battery ,Other - Other,,1,, 300.00 ,, 300.00 , 300.00 ,1200.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2824,N00197,,19-03-2025
 SA1 ,Project,Augusta BESS,Augusta BESS Pty Ltd, Storage - Battery ,Other - Other,,1,, 270.00 ,, 270.00 , 270.00 ,540.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2744,,,21-03-2025
 SA1 ,Project,Aurora Solar Energy Project - Phase 1,SiliconAurora, Storage - Battery ,Other - Other,,1, 140.00 , 140.00 , 140.00 , 140.00 , 140.00 ,140.00, Publicly Announced ,S,,2052,,Proposed, Battery Storage ,1390,,Feb 2025,23-03-2023
 SA1 ,Project,Australia Plains Solar Farm,Gree, Solar PV - Single axis tracking ,Solar - Solar,,1, -   , 200.00 , -   , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1952,S00015,Feb 2025,18-03-2025
 NSW1 ,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited, Solar PV - Single axis tracking ,Solar - Solar,AVLSF1,70, -   , 3.63 , -   , 254.10 , 254.10 ,, In Service ,SS,Nov 2023,2058,,Existing less Announced Withdrawal, Solar ,1715,,Feb 2025,18-03-2025
 NSW1 ,Project,Awaba BESS,firmpower_NR, Storage - Battery ,Other - Other,,1, 67.20 , 67.20 , 67.20 , 67.20 , 67.20 ,100.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2974,,,18-03-2025
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Storage - Battery ,Other - Other,,1,, 50.00 ,, 50.00 , 50.00 ,100.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,1958,V00025,Feb 2025,18-03-2025
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Solar PV - Single axis tracking ,Solar - Solar,,1, -   , 140.00 , -   , 140.00 , 140.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1958,V00025,Feb 2025,18-03-2025
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL01,1,, 47.00 ,, 47.00 , 47.00 ,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb 2025,11-03-2025
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL02,1,, 47.00 ,, 47.00 , 47.00 ,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb 2025,11-03-2025
 VIC1 ,Project,Bairnsdale BESS,Bison Energy, Storage - Battery ,Other - Other,,1,, 65.00 ,, 65.00 , 65.00 ,260.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2263,,Feb 2025,13-03-2025
 QLD1 ,Project,Baking Board Battery Storage - KCI, Solar Projects Australia Pty Ltd, Storage - Battery ,Solar - Solar,,1, 400.00 , 400.00 , 400.00 , 400.00 , 400.00 ,0.00, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2278,Q00018,Sep 2023,
 QLD1 ,Project,Baking Board BESS (MMT),MMT Projects T/A Renewable Projects Management, Storage - Battery ,Other - Other,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2679,Q00144,,
 QLD1 ,Project,Baking Board Solar Farm - KCI, Solar Projects Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 250.00 , 250.00 , 250.00 , 250.00 , 250.00 ,, Publicly Announced ,TBA,,,,Proposed, Solar ,2277,Q00018,Sep 2023,
 QLD1 ,Project,Baking Board Solar Farm (MMT),MMT Projects T/A Renewable Projects Management, Solar PV - Fixed ,Solar - Solar,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2678,Q00144,,
 QLD1 ,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BAKING1,1, 14.70 , 14.70 , 14.70 , 14.70 , 14.70 ,, In Service ,NS,Sep 2018,2044,,Existing less Announced Withdrawal, Solar ,1642,,Oct 2024,24-09-2024
 VIC1 ,Existing Plant,Bald Hills Wind Farm,Bald Hills Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,BALDHWF1,52,, 2.05 ,, 106.60 , 106.60 ,, In Service ,SS,,2040,,Existing less Announced Withdrawal, Wind ,1006,,Feb 2025,10-03-2025
 NSW1 ,Project,Baldon Wind Farm,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,45, 8.00 , 8.00 , 360.00 , 360.00 , 360.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,2213,N00082,May 2025,04-03-2024
 NSW1 ,Project,Baldon Wind Farm Stage 2,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,130, 8.00 , 8.00 ," 1,040.00 "," 1,040.00 "," 1,040.00 ",, Publicly Announced ,SS,,,,Proposed, Wind ,2595,N00138,May 2025,04-03-2024
 NSW1 ,Project,Baldon Wind Farm Stage 2 - BESS,Baldon Wind Farm Pty Ltd, Storage - Battery ,Other - Other,,125, 4.00 , 4.00 , 500.00 , 500.00 , 500.00 ,1000.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2596,N00138,May 2025,04-03-2024
